structure,level,ref_date,type,url,Notes
Main Structure and Greater Capital City Statistical Areas,SA1,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_sa1_2011_aust_csv.zip&1270.0.55.001&Data%20Cubes&5AD36D669F284E70CA257801000C69BE&0&July%202011&23.12.2010&Latest,2011 SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Non ABS Structures,CED,2011,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_ced_2011_aust_csv.zip&1270.0.55.003&Data%20Cubes&F85EC44BA66E1AF8CA2578D40012D57B&0&July%202011&22.07.2011&Previous,2011 SA1 -> 2011 CED
Non ABS Structures,POA,2011,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_poa_2011_aust_csv.zip&1270.0.55.003&Data%20Cubes&7A0CD4B1AD71C814CA2578D40012D4B2&0&July%202011&22.07.2011&Previous,2011 SA1 -> 2011 POA
Non ABS Structures,SED,2011,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_sed_2011_aust_csv.zip&1270.0.55.003&Data%20Cubes&D528608C024844C9CA2578D40012D5E0&0&July%202011&22.07.2011&Previous,2011 SA1 -> 2011 SED
Non ABS Structures,CED,2013,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_ced_2013_aust_csv.zip&1270.0.55.003&Data%20Cubes&CC688918DA139CF6CA257BB0001159F9&0&July%202013&23.07.2013&Latest,2011 SA1 -> 2013 CED
Main Structure and Greater Capital City Statistical Areas,MB,2016,correspondence,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&cg_mb_2011_mb_2016.zip&1270.0.55.001&Data%20Cubes&4E9930D30D02872ACA257FED0014BEFE&0&July%202016&12.07.2016&Latest,2011 MB -> 2016 MB
Main Structure and Greater Capital City Statistical Areas,SA1,2016,correspondence,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&cg_sa1_2011_sa1_2016.zip&1270.0.55.001&Data%20Cubes&7FA4ED413ECF9336CA257FED0014C10D&0&July%202016&12.07.2016&Latest,2011 SA1 -> 2016 SA1
Main Structure and Greater Capital City Statistical Areas,MB,2016,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_mb_2016_nsw_csv.zip&1270.0.55.001&Data%20Cubes&1FC672E70A77D52FCA257FED0013A0F7&0&July%202016&12.07.2016&Latest,2016 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2016,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_mb_2016_vic_csv.zip&1270.0.55.001&Data%20Cubes&F1EA82ECA7A762BCCA257FED0013A253&0&July%202016&12.07.2016&Latest,2016 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2016,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_mb_2016_qld_csv.zip&1270.0.55.001&Data%20Cubes&A6A81C7C2CE74FAACA257FED0013A344&0&July%202016&12.07.2016&Latest,2016 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2016,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_mb_2016_sa_csv.zip&1270.0.55.001&Data%20Cubes&5763C01CA9A3E566CA257FED0013A38D&0&July%202016&12.07.2016&Latest,2016 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2016,allocation,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_mb_2016_wa_csv.zip&1270.0.55.001&Data%20Cubes&6C293909851DCBFFCA257FED0013A3BF&0&July%202016&12.07.2016&Latest,2016 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
